# weakly labeled youtube video segments from the dcase dataset, reformated like google_audioset_meta
# 10 classes: /m/07pp_mv, /m/09x0r, /m/0bt9lr, /m/01yrx, /m/04brg2, /m/0dxrf, /m/04fgwm, /m/0d31p, /m/02pjr4, /m/0838f
# YTID, start_seconds, end_seconds, weak_labels
KK227gPpRn4, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
-6p32k2WUCs, 0.000, 10.000, "/m/07pp_mv"
-Zjgm_sZd10, 0.000, 4.000, "/m/07pp_mv"
-ikrSfqB0LU, 0.000, 3.000, "/m/07pp_mv"
26ubekDhG_Y, 0.000, 10.000, "/m/07pp_mv"
2xXpSgqrtDE, 40.000, 50.000, "/m/07pp_mv"
2xo20i_OZrM, 80.000, 90.000, "/m/07pp_mv;/m/09x0r"
3BcwNM72zcQ, 10.000, 20.000, "/m/07pp_mv"
44U-fF5rsjM, 0.000, 10.000, "/m/07pp_mv;/m/0bt9lr"
4oQdHNxBFFY, 20.000, 30.000, "/m/07pp_mv;/m/09x0r"
52Usv8FcO0w, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
5pNzHcUedVo, 10.000, 20.000, "/m/07pp_mv"
6PrBwQNpLvo, 10.000, 20.000, "/m/07pp_mv;/m/09x0r"
6aNA6pqmpd8, 0.000, 6.000, "/m/07pp_mv"
7fGU8SFid9E, 130.000, 140.000, "/m/07pp_mv"
9QEM0ThcgD4, 20.000, 30.000, "/m/07pp_mv"
9zWmlaj56pM, 60.000, 70.000, "/m/07pp_mv;/m/09x0r"
CvvvGRbF5mU, 30.000, 40.000, "/m/07pp_mv;/m/0bt9lr;/m/09x0r"
E8Yi41OgpWo, 0.000, 10.000, "/m/07pp_mv"
EL3v64rTpG8, 0.000, 9.000, "/m/07pp_mv;/m/09x0r"
EenFsKjpsQc, 200.000, 210.000, "/m/07pp_mv;/m/09x0r"
EqCEkkd_c_I, 0.000, 10.000, "/m/07pp_mv"
HoBWL3qAnGU, 350.000, 360.000, "/m/07pp_mv"
I-uouJ_Zsv4, 0.000, 10.000, "/m/07pp_mv;/m/09x0r"
I3kPmcHvMrg, 30.000, 40.000, "/m/07pp_mv;/m/0bt9lr"
J1EO9afbq4U, 80.000, 90.000, "/m/07pp_mv"
J1Qv0p8QsR8, 150.000, 160.000, "/m/07pp_mv;/m/09x0r"
JQplKcC6Ejw, 0.000, 10.000, "/m/07pp_mv;/m/09x0r"
L7bzKI26Pek, 190.000, 200.000, "/m/07pp_mv;/m/09x0r"
L9_QOpRG8s8, 0.000, 10.000, "/m/07pp_mv"
Lgf99OrWOVM, 420.000, 430.000, "/m/07pp_mv"
MkF2nVQypFM, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
Msy4mmS1DYc, 110.000, 120.000, "/m/07pp_mv;/m/09x0r"
O8MSD706FEQ, 230.000, 240.000, "/m/07pp_mv;/m/09x0r"
P900eyYudeg, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
PpKpwTI1REQ, 410.000, 420.000, "/m/07pp_mv"
Sgbfq9K3Lqs, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
TLs3b0dV8Ew, 10.000, 20.000, "/m/07pp_mv"
Tgp484iUwEg, 190.000, 200.000, "/m/07pp_mv"
U10g6Ou2A58, 10.000, 20.000, "/m/07pp_mv"
UhrqWmzFf8A, 60.000, 70.000, "/m/07pp_mv;/m/09x0r"
UwqNcZ_b_Js, 240.000, 250.000, "/m/07pp_mv;/m/09x0r"
VVJOjfAY0ec, 40.000, 50.000, "/m/07pp_mv;/m/09x0r"
VXVuWhara_o, 60.000, 70.000, "/m/07pp_mv"
Vafgccb1ubk, 320.000, 330.000, "/m/07pp_mv;/m/09x0r"
WmOE-cfIJe0, 8.000, 18.000, "/m/07pp_mv;/m/09x0r"
Xiu_VGdKi4o, 0.000, 4.000, "/m/07pp_mv"
YTdVeMwwYkY, 11.000, 21.000, "/m/07pp_mv"
YaTkV4qCqQc, 19.000, 29.000, "/m/07pp_mv;/m/09x0r"
ZFmyeuE40I8, 500.000, 510.000, "/m/07pp_mv;/m/09x0r"
_CZzm6jUxbo, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
_KNIJQJ-CHA, 30.000, 40.000, "/m/07pp_mv"
_YoIeZgxdAI, 0.000, 10.000, "/m/07pp_mv;/m/0bt9lr"
aCVJyp88tpM, 150.000, 160.000, "/m/07pp_mv"
abTPRP0_F-A, 180.000, 190.000, "/m/07pp_mv;/m/09x0r"
aeEdZ2Pd7Mo, 10.000, 20.000, "/m/07pp_mv;/m/09x0r"
b2o_IFW-9HQ, 2.000, 12.000, "/m/07pp_mv"
bLe0AmKB8fY, 560.000, 570.000, "/m/07pp_mv;/m/09x0r"
bRUUPDD_nSQ, 22.000, 32.000, "/m/07pp_mv;/m/09x0r"
bm0xs7iYwo4, 60.000, 70.000, "/m/07pp_mv;/m/09x0r"
eqlP9_HNy68, 0.000, 10.000, "/m/07pp_mv;/m/09x0r"
fjcfhE22AVQ, 540.000, 550.000, "/m/07pp_mv"
guQwU8X2IrY, 0.000, 10.000, "/m/07pp_mv;/m/09x0r"
j2ZWCwZh9LQ, 10.000, 20.000, "/m/07pp_mv;/m/0bt9lr;/m/09x0r"
kD_sM3ZF514, 160.000, 170.000, "/m/07pp_mv"
kIqf8gd4W8Q, 590.000, 600.000, "/m/07pp_mv"
l8ImMjuK29M, 330.000, 340.000, "/m/07pp_mv"
mOfTDGOGBpI, 160.000, 170.000, "/m/07pp_mv;/m/0838f"
mpAYvNw6VEw, 40.000, 50.000, "/m/07pp_mv;/m/09x0r"
n2u-4A9fY28, 20.000, 30.000, "/m/07pp_mv;/m/09x0r;/m/0bt9lr"
oFcRyerYBfM, 30.000, 40.000, "/m/07pp_mv"
p6CYj_0IR28, 0.000, 4.000, "/m/07pp_mv"
qDCK7vo_MCM, 140.000, 150.000, "/m/07pp_mv;/m/09x0r"
qGDaSUy-llQ, 0.000, 9.000, "/m/07pp_mv"
r4auqsn1UuA, 430.000, 440.000, "/m/07pp_mv"
rzAqETGwotg, 20.000, 30.000, "/m/07pp_mv;/m/09x0r"
tLgYuO-w638, 0.000, 10.000, "/m/07pp_mv"
tNr5TNpI_SY, 30.000, 40.000, "/m/07pp_mv"
xnwwsEEJvdk, 200.000, 210.000, "/m/07pp_mv;/m/09x0r"
yNNf4uTzPjQ, 10.000, 20.000, "/m/07pp_mv"
ylADXwDnjwY, 550.000, 560.000, "/m/07pp_mv"
zNvgZ5QPAFI, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
0632OqvXrwg, 7.000, 17.000, "/m/01yrx;/m/09x0r"
06Mm032486Q, 30.000, 40.000, "/m/01yrx"
08R27f6Ffdk, 6.000, 16.000, "/m/01yrx;/m/09x0r"
0Am7X758-Ek, 30.000, 40.000, "/m/01yrx"
0CEQ565DH_A, 30.000, 40.000, "/m/01yrx;/m/09x0r"
0DtJdRFPmS4, 30.000, 40.000, "/m/01yrx;/m/09x0r"
0E6Uaq_e6OA, 20.000, 30.000, "/m/01yrx;/m/09x0r"
0F40MJSfsDw, 30.000, 40.000, "/m/01yrx"
0F7yaWNgTGg, 30.000, 40.000, "/m/01yrx;/m/09x0r"
0F8srmjGqtA, 30.000, 40.000, "/m/01yrx;/m/09x0r"
0G-Qx3Gv01s, 0.000, 8.000, "/m/01yrx;/m/09x0r"
0GGO5npJzWI, 0.000, 10.000, "/m/01yrx"
0QtmEs-OOsA, 21.000, 31.000, "/m/01yrx"
0SjvusZqA3w, 0.000, 6.000, "/m/01yrx"
0Sq8ge7D4wU, 3.000, 13.000, "/m/01yrx;/m/09x0r"
0UKzyBqyhGc, 27.000, 37.000, "/m/01yrx"
0W_gYR6p-D0, 30.000, 40.000, "/m/01yrx"
0_K6OKtoBBU, 30.000, 40.000, "/m/01yrx"
0b06i5LzIFw, 26.000, 36.000, "/m/01yrx"
0bj1ynHjnR8, 26.000, 36.000, "/m/01yrx"
0crSdgvedhc, 150.000, 160.000, "/m/01yrx"
0hbOtaw86mk, 30.000, 40.000, "/m/01yrx;/m/0bt9lr"
0i31R7PS-GA, 20.000, 30.000, "/m/01yrx;/m/09x0r"
0kOj9aZEySE, 21.000, 31.000, "/m/01yrx"
0owoOrZH2mI, 28.000, 38.000, "/m/01yrx"
0q1Ytfn8yMU, 10.000, 20.000, "/m/01yrx"
0rJwumFz1O0, 30.000, 40.000, "/m/01yrx"
0uab4-3d6MM, 30.000, 40.000, "/m/01yrx"
0v87UfMga5U, 30.000, 40.000, "/m/01yrx"
0xhygj2rhpk, 21.000, 31.000, "/m/01yrx;/m/09x0r"
0xzbWmrJCa0, 30.000, 40.000, "/m/01yrx"
0zv4NcZfYhE, 24.000, 34.000, "/m/01yrx"
11rKpXBR_ck, 24.000, 34.000, "/m/01yrx"
15nVe6RwUNM, 19.000, 29.000, "/m/01yrx"
16ccKlJF5H8, 6.000, 16.000, "/m/01yrx"
16th_TIPv84, 30.000, 40.000, "/m/01yrx"
17tk_fp4eJ0, 50.000, 60.000, "/m/01yrx"
18FN3fDI25A, 30.000, 40.000, "/m/01yrx"
19UTZe1Gwj4, 30.000, 40.000, "/m/01yrx"
1DVyj_Q5f0A, 12.000, 22.000, "/m/01yrx"
1FUMr2pDTn0, 30.000, 40.000, "/m/01yrx"
1H0jwhMaS70, 30.000, 40.000, "/m/01yrx"
1Kxgh-Eciz0, 30.000, 40.000, "/m/01yrx"
1MPwoS-R83A, 30.000, 40.000, "/m/01yrx"
1NwoL7fn1Qk, 40.000, 50.000, "/m/01yrx"
1QAZc5vOLlE, 10.000, 20.000, "/m/01yrx"
1QxDi-op6Qg, 27.000, 37.000, "/m/01yrx"
1RNq7dbRpWU, 16.000, 26.000, "/m/01yrx"
1U1k-d1x1qw, 30.000, 40.000, "/m/01yrx"
1UgCfEUzfqo, 30.000, 40.000, "/m/01yrx"
1Unp4vddTlM, 30.000, 40.000, "/m/01yrx"
1VQZAJgvzWI, 30.000, 40.000, "/m/01yrx"
1VyUmkngG5g, 10.000, 20.000, "/m/01yrx"
1b1b-9_AcFg, 30.000, 40.000, "/m/01yrx"
1bdZx2gFZ2w, 30.000, 40.000, "/m/01yrx"
1cSeAysUdek, 20.000, 30.000, "/m/01yrx"
1ci9EhneRNs, 30.000, 40.000, "/m/01yrx"
1dgBCUaZVAQ, 21.000, 31.000, "/m/01yrx"
1owUfrSLOEg, 30.000, 40.000, "/m/01yrx"
1sLF9mlF1yg, 2.000, 12.000, "/m/01yrx"
1szSQEuQ5WM, 30.000, 40.000, "/m/01yrx"
1tHhN-4fTiU, 30.000, 40.000, "/m/01yrx"
1tJdV9lG8dI, 30.000, 40.000, "/m/01yrx"
1vEjPObCs-c, 6.000, 16.000, "/m/01yrx"
1wTYC26te1E, 30.000, 40.000, "/m/01yrx"
1x2dJASMVi4, 30.000, 40.000, "/m/01yrx"
1zEJWzqb59A, 0.000, 10.000, "/m/01yrx"
1zYsKe5HhsQ, 21.000, 31.000, "/m/01yrx"
2-dHuNPOmFg, 30.000, 40.000, "/m/01yrx"
221Ia1cD5dQ, 22.000, 32.000, "/m/01yrx"
28yk3SrpV9Q, 20.000, 30.000, "/m/01yrx"
29-H4jj5UsE, 24.000, 34.000, "/m/01yrx"
2CSHWGtuxAY, 30.000, 40.000, "/m/01yrx"
2DaEW8tcMvo, 30.000, 40.000, "/m/01yrx"
2Eu-5zFuvb0, 12.000, 22.000, "/m/01yrx;/m/0bt9lr"
2EuM56yo0BM, 30.000, 40.000, "/m/01yrx"
2IvNEoXArxU, 30.000, 40.000, "/m/01yrx"
2KFRad_OEVM, 30.000, 40.000, "/m/01yrx"
2KjNkHQ8dvI, 30.000, 40.000, "/m/01yrx"
2Kz8a9S_Izs, 11.000, 21.000, "/m/01yrx"
2MFWzrk_KTM, 30.000, 40.000, "/m/01yrx"
2OoPfRnajZQ, 30.000, 40.000, "/m/01yrx"
2UGVSzh2bpQ, 30.000, 40.000, "/m/01yrx"
2YFsREAuJv4, 30.000, 40.000, "/m/01yrx"
2_07VckX0oU, 21.000, 31.000, "/m/01yrx"
2_Fl6KD9xZQ, 30.000, 40.000, "/m/01yrx"
2b0EzAqILu0, 30.000, 40.000, "/m/01yrx"
2ePpNRwWoOc, 30.000, 40.000, "/m/01yrx"
2fVTY-74PHI, 30.000, 40.000, "/m/01yrx"
2gCoy1QSPKM, 10.000, 20.000, "/m/01yrx"
2gs0Ltt5niY, 30.000, 40.000, "/m/01yrx"
2gvtmPZBNqw, 30.000, 40.000, "/m/01yrx"
2j8pxiFvElM, 0.000, 5.000, "/m/01yrx"
2nSWjsRllr8, 30.000, 40.000, "/m/01yrx"
2pFAkhUv7HQ, 19.000, 29.000, "/m/01yrx"
2rEjHi9VQM0, 7.000, 17.000, "/m/01yrx"
2sZhC_mKeic, 30.000, 40.000, "/m/01yrx"
2smnPw-cEps, 30.000, 40.000, "/m/01yrx"
2tMAx_ODhkw, 10.000, 20.000, "/m/01yrx;/m/09x0r"
2tpNtgOTI7M, 21.000, 31.000, "/m/01yrx"
2tvbXTF_MOA, 30.000, 40.000, "/m/01yrx"
2wG2Ar6VRMU, 30.000, 40.000, "/m/01yrx"
2wN-zr2MB2A, 30.000, 40.000, "/m/01yrx"
3-Q-3tZRaLI, 30.000, 40.000, "/m/01yrx"
3-Yw2TJQX4M, 13.000, 23.000, "/m/01yrx"
30N8kpX42Nc, 30.000, 40.000, "/m/01yrx"
30jyF9zlHXU, 30.000, 40.000, "/m/01yrx"
323uKBR-l4o, 30.000, 40.000, "/m/01yrx"
34_hvcz2g3s, 25.000, 35.000, "/m/01yrx"
34nb4_NIs_4, 13.000, 23.000, "/m/01yrx"
35qYEcRiJEY, 8.000, 18.000, "/m/01yrx;/m/09x0r"
369SnL621UI, 0.000, 10.000, "/m/01yrx"
3Ez6bhUGPKk, 30.000, 40.000, "/m/01yrx"
3G6CJHZEVYM, 30.000, 40.000, "/m/01yrx"
3GC8vah5aHU, 30.000, 40.000, "/m/01yrx"
3Glt9M8l_OA, 30.000, 40.000, "/m/01yrx"
3HrhMbXIuEk, 18.000, 28.000, "/m/01yrx"
3N0eacoj16s, 6.000, 16.000, "/m/01yrx"
3P_hZmAbPuI, 30.000, 40.000, "/m/01yrx"
3QOZzr4qCsg, 20.000, 30.000, "/m/01yrx"
3REDa7Da7Dk, 30.000, 40.000, "/m/01yrx"
3UjvVNXo91s, 30.000, 40.000, "/m/01yrx"
3Vu_2_YBeTk, 30.000, 40.000, "/m/01yrx"
3W20yc8TE1s, 30.000, 40.000, "/m/01yrx;/m/09x0r"
3dVfAVhlAVo, 30.000, 40.000, "/m/01yrx"
3ehTwni-7sg, 30.000, 40.000, "/m/01yrx"
3ejndVEAcmQ, 11.000, 21.000, "/m/01yrx"
3fdw7WJRVQc, 19.000, 29.000, "/m/01yrx"
3gXb8hq1Vk8, 25.000, 35.000, "/m/01yrx"
3gjF-cVb_m4, 30.000, 40.000, "/m/01yrx"
3n--reua_a0, 27.000, 37.000, "/m/01yrx"
3tPbl-78nZ8, 0.000, 4.000, "/m/01yrx"
3vcBPIhHjbE, 90.000, 100.000, "/m/01yrx;/m/0bt9lr"
3ww-zwFxrtY, 30.000, 40.000, "/m/01yrx"
3xeZDE2UE6w, 30.000, 40.000, "/m/01yrx;/m/09x0r"
46Ui0WCPoNk, 30.000, 40.000, "/m/01yrx"
48qlec3i3Ds, 25.000, 35.000, "/m/01yrx"
4BK-071pAfI, 30.000, 40.000, "/m/01yrx"
4BmkuLnWy1U, 120.000, 130.000, "/m/01yrx"
4MdNHt91DHM, 30.000, 40.000, "/m/01yrx"
4MqedZrHths, 30.000, 40.000, "/m/01yrx"
4OYKkAqdYbI, 0.000, 10.000, "/m/01yrx"
4P7p_EIdIeY, 30.000, 40.000, "/m/01yrx"
4S2R5UfWNBc, 4.000, 14.000, "/m/01yrx;/m/09x0r"
4UHlvxbSsJY, 30.000, 40.000, "/m/01yrx"
4VD4FGVS2nM, 10.000, 20.000, "/m/01yrx"
4VmVMns3514, 50.000, 60.000, "/m/01yrx"
4XHI4u7VidE, 30.000, 40.000, "/m/01yrx"
4Z-aeSrkqFg, 30.000, 40.000, "/m/01yrx"
4_MSTYZF8ns, 0.000, 10.000, "/m/01yrx"
4bLFS9KnHJU, 30.000, 40.000, "/m/01yrx"
4d4NOpPqTeo, 11.000, 21.000, "/m/01yrx"
4eeCIydN--4, 3.000, 13.000, "/m/01yrx"
4f2SbVHDPU8, 30.000, 40.000, "/m/01yrx"
4fpXqwEe_hM, 0.000, 4.000, "/m/01yrx"
4g5UJW0t4uc, 30.000, 40.000, "/m/01yrx;/m/09x0r"
4gSRzRQie2M, 1.000, 11.000, "/m/01yrx"
4hMpfbdjIjo, 40.000, 50.000, "/m/01yrx"
4hjW385XyHE, 30.000, 40.000, "/m/01yrx"
4ks0_dkWNGw, 10.000, 20.000, "/m/01yrx"
4lYCUB4REU0, 30.000, 40.000, "/m/01yrx"
4le_42J5qkU, 12.000, 22.000, "/m/01yrx"
4mswzuaZjnQ, 30.000, 40.000, "/m/01yrx"
4muUnvSiceA, 30.000, 40.000, "/m/01yrx"
4nsoFVx6MZ4, 17.000, 27.000, "/m/01yrx"
4oDE5ldMtT4, 30.000, 40.000, "/m/01yrx"
4pSzvT4eNdE, 22.000, 32.000, "/m/01yrx;/m/09x0r"
4pjcLnx3dMs, 14.000, 24.000, "/m/01yrx"
4rZuOkQL4HY, 30.000, 40.000, "/m/01yrx"
4rlpvDKiMMY, 15.000, 25.000, "/m/01yrx"
4saOJCEUaLE, 17.000, 27.000, "/m/0bt9lr"
4v89TDGH3do, 30.000, 40.000, "/m/01yrx"
5-aW6ffdiys, 100.000, 110.000, "/m/01yrx"
52tdbEqLRsM, 30.000, 40.000, "/m/01yrx"
--sIMPsphRI, 10.000, 20.000, "/m/0bt9lr"
--7jZxfzemI, 13.000, 23.000, "/m/0bt9lr"
--L22BmDI6E, 12.000, 22.000, "/m/0bt9lr"
-1UleAsNU_4, 30.000, 40.000, "/m/0bt9lr"
-24cKdvEPHs, 20.000, 30.000, "/m/0bt9lr"
-2XABjjB1tU, 110.000, 120.000, "/m/0bt9lr"
-37X0bRVT0g, 140.000, 150.000, "/m/0bt9lr"
-3L1zkUbHt8, 21.000, 31.000, "/m/0bt9lr"
-3cmXbOJOoc, 30.000, 40.000, "/m/0bt9lr;/m/09x0r"
-4H1EUXNl5s, 30.000, 40.000, "/m/0bt9lr"
-4ROHZMW7t0, 5.000, 15.000, "/m/0bt9lr"
-4ZFguO-v8M, 50.000, 60.000, "/m/0bt9lr;/m/09x0r"
-4i49rWLl1o, 20.000, 30.000, "/m/0bt9lr"
-4oBn8qurR4, 25.000, 35.000, "/m/0bt9lr"
-5IoPSM59xM, 9.000, 19.000, "/m/0bt9lr"
-5rnGk2e1ao, 0.000, 10.000, "/m/0bt9lr"
-799s1wQehA, 110.000, 120.000, "/m/0bt9lr"
-7T1vQ2CgdQ, 10.000, 20.000, "/m/0bt9lr;/m/07pp_mv"
-7Y8Cmjdvuk, 20.000, 30.000, "/m/0bt9lr"
-7khzUmnlm8, 30.000, 40.000, "/m/0bt9lr"
-7v9JCLrISM, 210.000, 220.000, "/m/0bt9lr"
-9OUFFMZTuk, 50.000, 60.000, "/m/0bt9lr;/m/09x0r"
-9P1IlNEgsM, 0.000, 8.000, "/m/0bt9lr"
-9YohOxYZ0Q, 10.000, 20.000, "/m/0bt9lr"
-A1G9vEhK58, 20.000, 30.000, "/m/0bt9lr"
-BEt_WLaM_8, 30.000, 40.000, "/m/0bt9lr"
-CEC5RoRUbU, 30.000, 40.000, "/m/0bt9lr"
-Dqd4YgZL0k, 30.000, 40.000, "/m/0bt9lr"
-EM6qEqk_H0, 10.000, 20.000, "/m/0bt9lr"
-GQtDyZq5y4, 30.000, 40.000, "/m/0bt9lr"
-HBR6wrrhAs, 0.000, 10.000, "/m/0bt9lr"
-HLkaa5GCFg, 20.000, 30.000, "/m/0bt9lr;/m/09x0r"
-HnhPxiYLLU, 0.000, 9.000, "/m/0bt9lr"
-IHE1hhdtek, 30.000, 40.000, "/m/0bt9lr"
-Io461is8Ko, 120.000, 130.000, "/m/0bt9lr"
-Its_5qrHs8, 30.000, 40.000, "/m/0bt9lr;/m/09x0r"
-JlAIil9iSE, 8.000, 18.000, "/m/0bt9lr"
-K0wP_zCTvA, 30.000, 40.000, "/m/0bt9lr"
-KzCxE1X5j0, 30.000, 40.000, "/m/0bt9lr"
-L46ZLyp9R0, 30.000, 40.000, "/m/0bt9lr"
-LWu_lirwKk, 0.000, 10.000, "/m/0bt9lr;/m/09x0r"
-LqG7GIW8UQ, 110.000, 120.000, "/m/0bt9lr"
-N7Qwe8goRc, 20.000, 30.000, "/m/0bt9lr"
-Nsu5Dm73Xw, 0.000, 10.000, "/m/0bt9lr"
-O-s44NpuEo, 30.000, 40.000, "/m/0bt9lr"
-OIGDKhH1cQ, 10.000, 20.000, "/m/0bt9lr"
-OYEgBWbvr4, 0.000, 10.000, "/m/0bt9lr"
-PIv8H-fn5U, 50.000, 60.000, "/m/0bt9lr;/m/09x0r"
-PWc49x8cyE, 30.000, 40.000, "/m/0bt9lr"
-PxusaPCH98, 30.000, 40.000, "/m/0bt9lr"
-QSTEXFuNZs, 0.000, 10.000, "/m/0bt9lr"
-QhqFtXZ7NA, 30.000, 40.000, "/m/0bt9lr"
-R47b72sQLU, 4.000, 14.000, "/m/0bt9lr"
-R5D2ee48uQ, 21.000, 31.000, "/m/0bt9lr"
-SL5sFIuhtg, 30.000, 40.000, "/m/0bt9lr"
-T9PDWg_EeU, 30.000, 40.000, "/m/0bt9lr"
-T9mK2krm2w, 30.000, 40.000, "/m/0bt9lr"
-TSQj52I1PQ, 260.000, 270.000, "/m/0bt9lr"
-UIDQgPMztE, 30.000, 40.000, "/m/0bt9lr"
-UubaEEMA4Q, 30.000, 40.000, "/m/0bt9lr;/m/09x0r"
-UxlFmoVuPo, 30.000, 40.000, "/m/0bt9lr"
-VG70q026Bw, 30.000, 40.000, "/m/0bt9lr"
-VPoLzHsw1s, 30.000, 40.000, "/m/0bt9lr"
-VV6dIcGmwI, 0.000, 10.000, "/m/0bt9lr"
-VbuWn-f52s, 30.000, 40.000, "/m/0bt9lr"
-Vo3XijOlvc, 70.000, 80.000, "/m/0bt9lr"
-W0tpODVUfQ, 30.000, 40.000, "/m/0bt9lr"
-WelAtqGj1E, 60.000, 70.000, "/m/0bt9lr"
-XLzWTb3sUg, 30.000, 40.000, "/m/0bt9lr;/m/09x0r"
-Y2x_3lyCqY, 10.000, 20.000, "/m/0bt9lr"
